maker-21-augustus-gene-31.0-mRNA-1	IPR006769,IPR039055
maker-25-snap-gene-95.21-mRNA-1	IPR003409
maker-219-augustus-gene-5.10-mRNA-1	IPR001898
maker-67-augustus-gene-23.2-mRNA-1	IPR019050,IPR025609,IPR025761,IPR025762,IPR025768
augustus_masked-100-processed-gene-0.6-mRNA-1	IPR000210,IPR003131,IPR003968,IPR003972,IPR005821,IPR028325
augustus_masked-43-processed-gene-9.2-mRNA-1	IPR026174
snap_masked-58-processed-gene-0.20-mRNA-1	IPR026060
snap_masked-157-processed-gene-1.9-mRNA-1	IPR008380
maker-80-augustus-gene-6.15-mRNA-1	IPR011106,IPR013980
snap_masked-103423-processed-gene-0.0-mRNA-1	IPR000276,IPR000725,IPR017452
augustus_masked-7-processed-gene-20.14-mRNA-1	IPR000276,IPR000355,IPR001277,IPR017452
maker-205-augustus-gene-4.3-mRNA-1	IPR000340,IPR000387,IPR020417,IPR020422
snap_masked-31-processed-gene-21.2-mRNA-1	IPR001675
maker-10-augustus-gene-77.4-mRNA-1	IPR000276,IPR000482,IPR002231,IPR017452
snap_masked-206-processed-gene-2.10-mRNA-1	IPR037863
augustus_masked-103534-processed-gene-0.1-mRNA-1	IPR023265
snap_masked-30-processed-gene-32.30-mRNA-1	IPR001680,IPR017986
snap_masked-50-processed-gene-1.22-mRNA-1	IPR026196,IPR028197
maker-247426-snap-gene-0.0-mRNA-1	IPR000175,IPR002438
maker-238-snap-gene-78.4-mRNA-1	IPR005045,IPR030353
maker-16-augustus-gene-77.20-mRNA-1	IPR013787,IPR026790
maker-7-augustus-gene-253.0-mRNA-1	IPR006821,IPR027699,IPR039008
snap_masked-238-processed-gene-33.11-mRNA-1	IPR000369,IPR005426
maker-9-snap-gene-63.18-mRNA-1	IPR001452,IPR030512
augustus_masked-251-processed-gene-0.0-mRNA-1	IPR000719
maker-9-snap-gene-85.0-mRNA-1	IPR006139,IPR006140
augustus_masked-490-processed-gene-2.22-mRNA-1	IPR003599,IPR007110,IPR013098,IPR040849
maker-371-augustus-gene-14.8-mRNA-1	IPR001972
maker-4-augustus-gene-6.7-mRNA-1	IPR013926
maker-112397-augustus-gene-0.0-mRNA-1	IPR000555,IPR037518,IPR037740
maker-268-snap-gene-0.7-mRNA-1	IPR000719
snap_masked-0start-processed-gene-538.8-mRNA-1	IPR041390
maker-25-snap-gene-22.13-mRNA-1	IPR029618
snap_masked-31-processed-gene-43.6-mRNA-1	IPR000175
augustus_masked-442-processed-gene-3.8-mRNA-1	IPR000276,IPR017452
snap_masked-75-processed-gene-4.41-mRNA-1	IPR027685,IPR027687
maker-13-augustus-gene-229.0-mRNA-1	IPR001915
maker-12-snap-gene-76.19-mRNA-1	IPR001279,IPR032282
maker-7-augustus-gene-224.5-mRNA-1	IPR000679,IPR039050
maker-113253-snap-gene-0.12-mRNA-1	IPR003593,IPR013632,IPR020587,IPR020588
maker-14-augustus-gene-54.16-mRNA-1	IPR003439,IPR003593,IPR013525,IPR030256
augustus_masked-148-processed-gene-1.16-mRNA-1	IPR027969
maker-112483-augustus-gene-0.3-mRNA-1	IPR001128,IPR002401
snap_masked-6-processed-gene-63.13-mRNA-1	IPR000772
snap_masked-16-processed-gene-50.14-mRNA-1	IPR001478,IPR030029,IPR041489
maker-15-augustus-gene-20.10-mRNA-1	IPR001236,IPR010945,IPR022383
augustus_masked-252-processed-gene-0.3-mRNA-1	IPR006796,IPR039863
maker-291-augustus-gene-6.12-mRNA-1	IPR042421
maker-92-augustus-gene-0.12-mRNA-1	IPR000547,IPR015348,IPR022365
maker-207-augustus-gene-12.3-mRNA-1	IPR000863
maker-99-augustus-gene-61.5-mRNA-1	IPR001680,IPR017986
maker-13-augustus-gene-28.1-mRNA-1	IPR016137,IPR034952
augustus_masked-7-processed-gene-134.8-mRNA-1	IPR001452,IPR001478,IPR004172,IPR008144,IPR008145,IPR014775
maker-68-augustus-gene-6.0-mRNA-1	IPR000146,IPR028343,IPR033391
augustus_masked-380-processed-gene-45.8-mRNA-1	IPR013087
maker-42-augustus-gene-11.8-mRNA-1	IPR018890
maker-56-snap-gene-9.35-mRNA-1	IPR001164,IPR002110,IPR013724,IPR020683,IPR022018,IPR032352
maker-0start-augustus-gene-362.10-mRNA-1	IPR002867
maker-9-snap-gene-46.8-mRNA-1	IPR000996
snap_masked-29-processed-gene-1.1-mRNA-1	IPR021910
maker-7-augustus-gene-90.2-mRNA-1	IPR001806
augustus_masked-54-processed-gene-83.18-mRNA-1	IPR000330,IPR001650,IPR014001,IPR020838,IPR031047
maker-151-snap-gene-2.6-mRNA-1	IPR000719,IPR003598,IPR003599,IPR003961,IPR007110,IPR013098
maker-4-augustus-gene-193.0-mRNA-1	IPR000195
maker-448-augustus-gene-0.23-mRNA-1	IPR018999,IPR040812,IPR041677,IPR041679
augustus_masked-32-processed-gene-104.3-mRNA-1	IPR000276,IPR002281,IPR003912,IPR017452
maker-95-augustus-gene-6.53-mRNA-1	IPR000198,IPR001060,IPR002219,IPR031160
augustus_masked-14-processed-gene-39.5-mRNA-1	IPR019082
augustus_masked-318-processed-gene-39.12-mRNA-1	IPR002056,IPR022422
maker-0start-augustus-gene-399.7-mRNA-1	IPR007052,IPR037895
maker-13-snap-gene-15.12-mRNA-1	IPR002637
augustus_masked-87-processed-gene-1.10-mRNA-1	IPR002945,IPR003663,IPR005828,IPR020846
maker-12-augustus-gene-47.2-mRNA-1	IPR005821,IPR010526,IPR024583
maker-28-augustus-gene-6.35-mRNA-1	IPR001806,IPR003578
maker-295-augustus-gene-42.16-mRNA-1	IPR011520
snap_masked-171-processed-gene-11.8-mRNA-1	IPR000210,IPR006652,IPR011705
snap_masked-295-processed-gene-49.1-mRNA-1	IPR002209
maker-13-augustus-gene-144.1-mRNA-1	IPR001747,IPR001846,IPR015255,IPR015258
maker-10-augustus-gene-24.2-mRNA-1	IPR001180
snap_masked-429-processed-gene-1.40-mRNA-1	IPR013649
maker-3-augustus-gene-98.12-mRNA-1	IPR018105,IPR034737
augustus_masked-112494-processed-gene-0.2-mRNA-1	IPR009790
maker-1-augustus-gene-22.8-mRNA-1	IPR001452,IPR013078,IPR015940
maker-34-snap-gene-31.3-mRNA-1	IPR001519,IPR008331,IPR009040
augustus_masked-364-processed-gene-0.10-mRNA-1	IPR001666,IPR004177,IPR031315
maker-13-augustus-gene-208.34-mRNA-1	IPR001878,IPR002058,IPR002934
maker-25-snap-gene-141.3-mRNA-1	IPR001464,IPR009115,IPR018502
snap_masked-291-processed-gene-15.34-mRNA-1	IPR000217,IPR002452,IPR003008,IPR018316
augustus_masked-422-processed-gene-28.15-mRNA-1	IPR000608,IPR006575
maker-265-snap-gene-0.32-mRNA-1	IPR000742,IPR001791,IPR001881,IPR003367,IPR008859,IPR017897,IPR024665,IPR028507
maker-6-snap-gene-14.18-mRNA-1	IPR002130,IPR013026,IPR019734
maker-436-snap-gene-3.17-mRNA-1	IPR002126,IPR013164,IPR013585
maker-471-snap-gene-8.13-mRNA-1	IPR013520,IPR031736
maker-0start-snap-gene-324.2-mRNA-1	IPR019178
augustus_masked-55-processed-gene-7.30-mRNA-1	IPR039471
maker-10-augustus-gene-81.10-mRNA-1	IPR004250,IPR018142
augustus_masked-32-processed-gene-211.6-mRNA-1	IPR000471,IPR007482
augustus_masked-4-processed-gene-314.4-mRNA-1	IPR001394,IPR001607,IPR028889
augustus_masked-318-processed-gene-7.12-mRNA-1	IPR031420
maker-18-augustus-gene-115.13-mRNA-1	IPR001806
snap_masked-180-processed-gene-6.2-mRNA-1	IPR001478,IPR004172,IPR015132
augustus_masked-380-processed-gene-43.19-mRNA-1	IPR039894
maker-398-snap-gene-4.5-mRNA-1	IPR013087
augustus_masked-422-processed-gene-29.9-mRNA-1	IPR000573,IPR001030,IPR006249,IPR029755
snap_masked-160-processed-gene-0.16-mRNA-1	IPR039500
snap_masked-5-processed-gene-71.0-mRNA-1	IPR000504
augustus_masked-112982-processed-gene-0.1-mRNA-1	IPR007858,IPR037856
augustus_masked-238-processed-gene-79.24-mRNA-1	IPR019131
maker-394-snap-gene-1.24-mRNA-1	IPR001806,IPR020849
maker-0start-augustus-gene-379.6-mRNA-1	IPR000008,IPR030631,IPR039032
snap_masked-281-processed-gene-2.25-mRNA-1	IPR013087
maker-77-augustus-gene-4.24-mRNA-1	IPR003316,IPR015633,IPR032198
maker-281-augustus-gene-2.4-mRNA-1	IPR005720
augustus_masked-323-processed-gene-6.5-mRNA-1	IPR001487,IPR021900
snap_masked-111644-processed-gene-0.1-mRNA-1	IPR001846,IPR014853,IPR030124
snap_masked-25-processed-gene-115.1-mRNA-1	IPR007225
maker-150-snap-gene-1.12-mRNA-1	IPR001666
augustus_masked-366-processed-gene-11.9-mRNA-1	IPR000719,IPR000961,IPR015940,IPR017892,IPR028742
maker-12-snap-gene-74.10-mRNA-1	IPR005817,IPR013302
snap_masked-120-processed-gene-0.27-mRNA-1	IPR000597
maker-241-augustus-gene-1.0-mRNA-1	IPR000799,IPR002913,IPR019498
maker-25-augustus-gene-34.15-mRNA-1	IPR001849,IPR030113,IPR030115
snap_masked-241-processed-gene-1.30-mRNA-1	IPR013087
snap_masked-153-processed-gene-11.10-mRNA-1	IPR012510,IPR030072
maker-1-augustus-gene-144.10-mRNA-1	IPR001680,IPR017986,IPR020472,IPR022052
snap_masked-249724-processed-gene-0.2-mRNA-1	IPR002909,IPR003523,IPR032200
maker-380-snap-gene-25.0-mRNA-1	IPR000727,IPR000928,IPR039077
maker-4-augustus-gene-333.11-mRNA-1	IPR000536,IPR001628,IPR001723,IPR001728
maker-5-augustus-gene-73.9-mRNA-1	IPR000425,IPR015686
maker-1-augustus-gene-319.5-mRNA-1	IPR006599,IPR012945,IPR017901,IPR039093
augustus_masked-112095-processed-gene-0.2-mRNA-1	IPR001132,IPR013790
maker-25-snap-gene-96.9-mRNA-1	IPR026053
snap_masked-28-processed-gene-2.7-mRNA-1	IPR001932,IPR039123
maker-16-augustus-gene-38.23-mRNA-1	IPR001627,IPR031148
maker-85-augustus-gene-11.12-mRNA-1	IPR000731,IPR003392,IPR042480
snap_masked-385-processed-gene-1.9-mRNA-1	IPR005821
maker-109-augustus-gene-45.5-mRNA-1	IPR001356
maker-30-augustus-gene-7.23-mRNA-1	IPR022241,IPR022764
snap_masked-23-processed-gene-28.1-mRNA-1	IPR001660,IPR003961,IPR027936
augustus_masked-26-processed-gene-87.9-mRNA-1	IPR015672,IPR022535,IPR025969
maker-15-augustus-gene-169.6-mRNA-1	IPR015671,IPR038842
augustus_masked-31-processed-gene-32.3-mRNA-1	IPR005451
augustus_masked-67-processed-gene-17.2-mRNA-1	IPR002350,IPR004156
augustus_masked-32-processed-gene-177.6-mRNA-1	IPR037443,IPR039499
maker-113063-snap-gene-0.20-mRNA-1	IPR003961
maker-6-augustus-gene-361.0-mRNA-1	IPR025252
maker-398-snap-gene-20.6-mRNA-1	IPR000433,IPR010606
augustus_masked-31-processed-gene-52.2-mRNA-1	IPR027866
maker-16-augustus-gene-57.19-mRNA-1	IPR005475,IPR027110,IPR033248
maker-22-snap-gene-34.11-mRNA-1	IPR010569,IPR022587,IPR030564,IPR030576
augustus_masked-410-processed-gene-0.13-mRNA-1	IPR001611,IPR003591
maker-13-snap-gene-53.6-mRNA-1	IPR001680,IPR006594,IPR006595,IPR017986,IPR040067
maker-329-snap-gene-1.52-mRNA-1	IPR004033
maker-442-snap-gene-15.48-mRNA-1	IPR003439,IPR003593,IPR026082
maker-168-augustus-gene-14.1-mRNA-1	IPR004127
maker-146-augustus-gene-5.0-mRNA-1	IPR022127
snap_masked-241-processed-gene-4.16-mRNA-1	IPR000276,IPR000355,IPR001718,IPR017452
augustus_masked-32-processed-gene-3.4-mRNA-1	IPR013528,IPR013746
maker-18-snap-gene-11.23-mRNA-1	IPR003593,IPR003959,IPR004487,IPR019489
maker-12-snap-gene-76.14-mRNA-1	IPR000008,IPR000909,IPR001192,IPR001711,IPR001849,IPR002048,IPR015359,IPR028387
augustus_masked-327-processed-gene-0.9-mRNA-1	IPR039917,IPR039919
maker-4-augustus-gene-336.17-mRNA-1	IPR006689
maker-12-augustus-gene-77.23-mRNA-1	IPR007188
maker-1-snap-gene-240.2-mRNA-1	IPR000294,IPR000742,IPR001254,IPR001314,IPR001881,IPR033190
snap_masked-322-processed-gene-0.17-mRNA-1	IPR019651
maker-209-snap-gene-2.30-mRNA-1	IPR000920,IPR003599,IPR007110,IPR013106,IPR029863
maker-229-snap-gene-9.11-mRNA-1	IPR000233,IPR002126,IPR014868,IPR039808
snap_masked-472-processed-gene-12.4-mRNA-1	IPR042838
maker-207-snap-gene-7.47-mRNA-1	IPR013641
maker-1-snap-gene-283.4-mRNA-1	IPR039779
maker-10-snap-gene-142.19-mRNA-1	IPR008518,IPR039433
maker-13-snap-gene-19.29-mRNA-1	IPR024738
maker-451-snap-gene-10.14-mRNA-1	IPR006767,IPR006768,IPR040194
snap_masked-113-processed-gene-25.17-mRNA-1	IPR001374
maker-29-snap-gene-60.0-mRNA-1	IPR017978
augustus_masked-318-processed-gene-14.0-mRNA-1	IPR031600
snap_masked-371-processed-gene-3.14-mRNA-1	IPR000742,IPR033079,IPR041161
maker-32-augustus-gene-125.0-mRNA-1	IPR031363
augustus_masked-285-processed-gene-0.6-mRNA-1	IPR006439,IPR041492
maker-429-augustus-gene-1.13-mRNA-1	IPR001478,IPR029921,IPR040645
snap_masked-371-processed-gene-3.13-mRNA-1	IPR033079
snap_masked-404-processed-gene-1.30-mRNA-1	IPR017932
augustus_masked-3-processed-gene-32.0-mRNA-1	IPR001360,IPR028546
maker-112822-augustus-gene-0.0-mRNA-1	IPR010548
maker-126-augustus-gene-10.4-mRNA-1	IPR002404
maker-168-augustus-gene-4.14-mRNA-1	IPR008734,IPR011613
maker-31-snap-gene-7.1-mRNA-1	IPR004156,IPR020846
snap_masked-378-processed-gene-0.2-mRNA-1	IPR000719
maker-323-augustus-gene-60.16-mRNA-1	IPR000742,IPR001881,IPR026823
maker-205-augustus-gene-11.0-mRNA-1	IPR002048
snap_masked-180-processed-gene-9.19-mRNA-1	IPR009601
maker-21-augustus-gene-43.8-mRNA-1	IPR000980
maker-187-snap-gene-1.51-mRNA-1	IPR008211
maker-40-snap-gene-5.0-mRNA-1	IPR002110,IPR003903,IPR020683,IPR021832
augustus_masked-106523-processed-gene-0.1-mRNA-1	IPR000276,IPR000725,IPR017452
maker-55-augustus-gene-16.22-mRNA-1	IPR000308,IPR023410
maker-29-snap-gene-66.11-mRNA-1	IPR026663,IPR026664
maker-109-augustus-gene-49.33-mRNA-1	IPR009038,IPR015720
maker-1-snap-gene-120.10-mRNA-1	IPR001193,IPR008915
snap_masked-326-processed-gene-11.9-mRNA-1	IPR000719,IPR010513,IPR018391,IPR018997
maker-295-augustus-gene-31.21-mRNA-1	IPR001806,IPR020849
maker-12-snap-gene-74.11-mRNA-1	IPR005817,IPR013302
snap_masked-281-processed-gene-2.35-mRNA-1	IPR005061
maker-482-snap-gene-17.7-mRNA-1	IPR026179
maker-197-augustus-gene-3.1-mRNA-1	IPR002110,IPR003961,IPR020683,IPR039269
maker-25-augustus-gene-125.9-mRNA-1	IPR001752,IPR027640,IPR028828
maker-99-augustus-gene-60.3-mRNA-1	IPR023250
snap_masked-43-processed-gene-8.11-mRNA-1	IPR004031,IPR042356
maker-153-snap-gene-53.3-mRNA-1	IPR001623
snap_masked-2-processed-gene-240.0-mRNA-1	IPR001199,IPR001433,IPR001834
augustus_masked-6-processed-gene-378.0-mRNA-1	IPR001841,IPR042123
maker-249-augustus-gene-2.5-mRNA-1	IPR000463,IPR000566,IPR031259,IPR031272
maker-143063-snap-gene-0.0-mRNA-1	IPR008547
maker-248-snap-gene-0.42-mRNA-1	IPR001394,IPR028889,IPR040468
snap_masked-13-processed-gene-181.18-mRNA-1	IPR026628,IPR031627
snap_masked-17-processed-gene-22.1-mRNA-1	IPR000721
maker-187-snap-gene-1.50-mRNA-1	IPR002049
maker-6-snap-gene-253.14-mRNA-1	IPR024789,IPR024790,IPR024977
maker-18-snap-gene-18.49-mRNA-1	IPR018392
maker-0start-snap-gene-399.4-mRNA-1	IPR000276,IPR002120,IPR017452
snap_masked-30-processed-gene-32.18-mRNA-1	IPR003936,IPR004031
snap_masked-44-processed-gene-11.25-mRNA-1	IPR003928,IPR004031,IPR006187
maker-58-augustus-gene-8.20-mRNA-1	IPR002569
maker-6-augustus-gene-67.6-mRNA-1	IPR000904,IPR001810
snap_masked-67-processed-gene-45.27-mRNA-1	IPR003599,IPR007110
maker-197-augustus-gene-20.38-mRNA-1	IPR001684
maker-295-snap-gene-51.35-mRNA-1	IPR006689
augustus_masked-380-processed-gene-2.4-mRNA-1	IPR001452,IPR042801
augustus_masked-2-processed-gene-255.0-mRNA-1	IPR000276,IPR000810,IPR002230,IPR017452
snap_masked-50-processed-gene-9.15-mRNA-1	IPR030358
maker-64-augustus-gene-8.0-mRNA-1	IPR003092,IPR003280,IPR013099
snap_masked-237-processed-gene-1.16-mRNA-1	IPR002369,IPR015812,IPR027068
maker-224-augustus-gene-0.26-mRNA-1	IPR013087
maker-13-augustus-gene-162.18-mRNA-1	IPR001494,IPR013598,IPR040520,IPR040709,IPR040944
augustus_masked-251026-processed-gene-0.0-mRNA-1	IPR000884,IPR013273,IPR041645
snap_masked-306-processed-gene-4.42-mRNA-1	IPR008253,IPR016579
augustus_masked-0start-processed-gene-527.0-mRNA-1	IPR001611,IPR003591
augustus_masked-8-processed-gene-273.8-mRNA-1	IPR001683
augustus_masked-436-processed-gene-0.19-mRNA-1	IPR002126,IPR013164,IPR030728,IPR031904,IPR032455
maker-370-snap-gene-3.40-mRNA-1	IPR001841,IPR008913,IPR017921,IPR039512
snap_masked-249218-processed-gene-0.5-mRNA-1	IPR004087,IPR004088
maker-22-snap-gene-21.12-mRNA-1	IPR001810,IPR006553
maker-113-augustus-gene-40.1-mRNA-1	IPR000237
snap_masked-197-processed-gene-19.27-mRNA-1	IPR027318
snap_masked-109-processed-gene-36.6-mRNA-1	IPR033204
maker-25-snap-gene-6.4-mRNA-1	IPR016137
snap_masked-356-processed-gene-7.17-mRNA-1	IPR001680,IPR009071,IPR017986,IPR024977
maker-268-augustus-gene-7.4-mRNA-1	IPR028472,IPR028473
maker-86-augustus-gene-0.2-mRNA-1	IPR031161
maker-2-augustus-gene-67.16-mRNA-1	IPR004313
snap_masked-3-processed-gene-12.2-mRNA-1	IPR030118
maker-246293-snap-gene-0.1-mRNA-1	IPR013087
maker-4-augustus-gene-198.10-mRNA-1	IPR000116,IPR017956
maker-422-augustus-gene-4.16-mRNA-1	IPR001464,IPR002389,IPR018502
augustus_masked-99-processed-gene-119.16-mRNA-1	IPR000276,IPR005389,IPR017452
maker-441-augustus-gene-1.4-mRNA-1	IPR027197
maker-84-augustus-gene-2.3-mRNA-1	IPR001944,IPR025300,IPR031330
augustus_masked-0start-processed-gene-557.12-mRNA-1	IPR000884,IPR001879,IPR008077,IPR032471
augustus_masked-1-processed-gene-168.15-mRNA-1	IPR001611,IPR003591,IPR026880
snap_masked-447-processed-gene-0.7-mRNA-1	IPR026791,IPR026799
snap_masked-0start-processed-gene-426.5-mRNA-1	IPR013087,IPR028440
snap_masked-1-processed-gene-10.0-mRNA-1	IPR033236
maker-15-snap-gene-198.3-mRNA-1	IPR001356,IPR031278,IPR031701
snap_masked-448-processed-gene-1.10-mRNA-1	IPR039491
snap_masked-128-processed-gene-0.23-mRNA-1	IPR003150,IPR039779
maker-10-augustus-gene-93.3-mRNA-1	IPR029700
maker-6-augustus-gene-309.4-mRNA-1	IPR009431
snap_masked-98-processed-gene-0.14-mRNA-1	IPR000719
augustus_masked-112945-processed-gene-0.6-mRNA-1	IPR011124,IPR041006
snap_masked-30-processed-gene-28.4-mRNA-1	IPR000537,IPR006369
snap_masked-87-processed-gene-11.6-mRNA-1	IPR001300,IPR022684
maker-54-snap-gene-132.16-mRNA-1	IPR019328
augustus_masked-32-processed-gene-44.0-mRNA-1	IPR028128
snap_masked-9-processed-gene-45.7-mRNA-1	IPR002350
maker-85-snap-gene-11.18-mRNA-1	IPR001810,IPR007397,IPR039752
maker-206-augustus-gene-1.34-mRNA-1	IPR001806
maker-56-snap-gene-10.5-mRNA-1	IPR013750
augustus_masked-5-processed-gene-7.1-mRNA-1	IPR019142
maker-27-snap-gene-8.8-mRNA-1	IPR001604,IPR020821,IPR039015
maker-34-augustus-gene-26.12-mRNA-1	IPR012506
maker-4-snap-gene-154.2-mRNA-1	IPR002108,IPR028458
augustus_masked-148-processed-gene-6.11-mRNA-1	IPR000719
maker-6-augustus-gene-360.15-mRNA-1	IPR000313,IPR001214,IPR001841,IPR001965,IPR003616,IPR006560,IPR019787
snap_masked-371-processed-gene-7.8-mRNA-1	IPR020864,IPR026995
maker-7-snap-gene-24.19-mRNA-1	IPR000594
maker-6-snap-gene-177.3-mRNA-1	IPR002289,IPR006028,IPR006029,IPR006201
snap_masked-446-processed-gene-1.23-mRNA-1	IPR001806
maker-6-augustus-gene-322.13-mRNA-1	IPR002048,IPR013787,IPR028494
maker-4-augustus-gene-85.1-mRNA-1	IPR001965,IPR019787,IPR024610,IPR028651
maker-1-snap-gene-316.5-mRNA-1	IPR000408,IPR000433,IPR000569,IPR004939,IPR010606,IPR021097
maker-4-augustus-gene-76.13-mRNA-1	IPR006806
maker-9-augustus-gene-115.3-mRNA-1	IPR001766,IPR033065
maker-206-snap-gene-1.5-mRNA-1	IPR000504
maker-47-augustus-gene-13.12-mRNA-1	IPR000742,IPR000859,IPR001881,IPR011641,IPR024731,IPR026823
maker-3-augustus-gene-49.1-mRNA-1	IPR001132,IPR003619,IPR013019,IPR013790
maker-6-augustus-gene-107.4-mRNA-1	IPR001346,IPR031218
maker-2-augustus-gene-260.3-mRNA-1	IPR006762
maker-168-augustus-gene-28.8-mRNA-1	IPR018732,IPR030039
maker-2-snap-gene-302.1-mRNA-1	IPR006553
maker-500-snap-gene-3.35-mRNA-1	IPR001007,IPR001846,IPR037578
snap_masked-9-processed-gene-36.18-mRNA-1	IPR008521
maker-15-snap-gene-37.5-mRNA-1	IPR021852
augustus_masked-8-processed-gene-7.5-mRNA-1	IPR000276,IPR000355,IPR001277,IPR004067,IPR006594,IPR017452,IPR018993
maker-85-augustus-gene-4.2-mRNA-1	IPR003613,IPR019474
maker-66-snap-gene-2.8-mRNA-1	IPR001060,IPR031160
snap_masked-112916-processed-gene-0.16-mRNA-1	IPR009581,IPR024869
maker-74-augustus-gene-3.29-mRNA-1	IPR005343
maker-30-augustus-gene-5.18-mRNA-1	IPR001101,IPR030460
augustus_masked-112958-processed-gene-0.6-mRNA-1	IPR001611,IPR003591,IPR016337
maker-47-snap-gene-46.0-mRNA-1	IPR000719
augustus_masked-29-processed-gene-36.2-mRNA-1	IPR000980,IPR001496,IPR028411
augustus_masked-440-processed-gene-0.65-mRNA-1	IPR026779
maker-266-augustus-gene-0.0-mRNA-1	IPR001810,IPR039594
snap_masked-7-processed-gene-122.38-mRNA-1	IPR001356,IPR020479
augustus_masked-2-processed-gene-70.2-mRNA-1	IPR001680,IPR017986,IPR040323
maker-113275-augustus-gene-0.7-mRNA-1	IPR026148,IPR031964
maker-134-augustus-gene-1.24-mRNA-1	IPR026249,IPR027795,IPR030415,IPR040778
maker-36-snap-gene-9.20-mRNA-1	IPR019356
augustus_masked-306-processed-gene-5.6-mRNA-1	IPR004963
maker-134-augustus-gene-1.23-mRNA-1	IPR001581,IPR003624
maker-139-snap-gene-2.24-mRNA-1	IPR000571,IPR001841,IPR039971
snap_masked-10-processed-gene-76.0-mRNA-1	IPR002659
maker-5-augustus-gene-4.2-mRNA-1	IPR020616,IPR020617
augustus_masked-197-processed-gene-1.9-mRNA-1	IPR011701,IPR020846,IPR030756
maker-9-augustus-gene-17.7-mRNA-1	IPR003993,IPR006594,IPR017859
maker-18-snap-gene-103.10-mRNA-1	IPR026197
augustus_masked-172-processed-gene-28.19-mRNA-1	IPR001594
maker-229-snap-gene-8.26-mRNA-1	IPR002219,IPR025258
maker-31-augustus-gene-43.3-mRNA-1	IPR000175,IPR002980
maker-134-augustus-gene-0.1-mRNA-1	IPR006091,IPR009075,IPR041504
maker-323-snap-gene-85.3-mRNA-1	IPR000089,IPR002930,IPR033753
maker-238-augustus-gene-57.1-mRNA-1	IPR003598,IPR003599,IPR007110,IPR013106,IPR013162,IPR039810
maker-11-snap-gene-61.1-mRNA-1	IPR000967,IPR001374,IPR034078
snap_masked-270-processed-gene-0.22-mRNA-1	IPR012317
maker-12-augustus-gene-40.6-mRNA-1	IPR002347
snap_masked-6-processed-gene-172.9-mRNA-1	IPR002657,IPR004710,IPR030204
maker-32-augustus-gene-126.4-mRNA-1	IPR005841,IPR005844,IPR005845
snap_masked-9-processed-gene-84.14-mRNA-1	IPR006680,IPR030628
augustus_masked-27-processed-gene-48.7-mRNA-1	IPR022564
maker-398-augustus-gene-1.6-mRNA-1	IPR002818
snap_masked-22-processed-gene-39.21-mRNA-1	IPR000533
maker-6-augustus-gene-280.8-mRNA-1	IPR026748
augustus_masked-13-processed-gene-42.4-mRNA-1	IPR001194,IPR005112,IPR005113,IPR037516,IPR040032
snap_masked-59-processed-gene-277.10-mRNA-1	IPR000721
maker-0start-snap-gene-354.2-mRNA-1	IPR009723,IPR012590,IPR039182
maker-441-augustus-gene-1.0-mRNA-1	IPR019403
maker-291-snap-gene-4.1-mRNA-1	IPR006671,IPR013763,IPR015431
augustus_masked-2-processed-gene-172.2-mRNA-1	IPR000742,IPR001881,IPR013032
maker-11-snap-gene-30.1-mRNA-1	IPR001102,IPR002931,IPR008958,IPR034810
snap_masked-4-processed-gene-2.5-mRNA-1	IPR005828,IPR020846
maker-6-augustus-gene-203.3-mRNA-1	IPR039776
maker-15-augustus-gene-35.6-mRNA-1	IPR000873,IPR025110,IPR032387
maker-78-snap-gene-6.51-mRNA-1	IPR004843,IPR006186,IPR031675
maker-7-augustus-gene-119.0-mRNA-1	IPR013087
augustus_masked-32-processed-gene-12.3-mRNA-1	IPR000595,IPR030169
augustus_masked-0start-processed-gene-178.4-mRNA-1	IPR018629
maker-169-augustus-gene-0.30-mRNA-1	IPR011701
maker-377-augustus-gene-24.19-mRNA-1	IPR005172,IPR028307,IPR033467
maker-318-augustus-gene-41.8-mRNA-1	IPR001770,IPR015898
maker-398-snap-gene-22.3-mRNA-1	IPR013177
maker-32-augustus-gene-107.8-mRNA-1	IPR000048,IPR000593,IPR001715,IPR001936
maker-39-snap-gene-117.0-mRNA-1	IPR040175
snap_masked-208-processed-gene-6.25-mRNA-1	IPR032292
snap_masked-446-processed-gene-1.41-mRNA-1	IPR005043
snap_masked-282-processed-gene-1.16-mRNA-1	IPR018022,IPR039657
augustus_masked-112935-processed-gene-0.3-mRNA-1	IPR000742,IPR001590,IPR001762,IPR002870,IPR006586
snap_masked-252199-processed-gene-0.0-mRNA-1	IPR003597,IPR003599,IPR007110,IPR013106,IPR013162
augustus_masked-6-processed-gene-305.2-mRNA-1	IPR013087
maker-323-snap-gene-58.6-mRNA-1	IPR000719
snap_masked-371-processed-gene-13.5-mRNA-1	IPR010448,IPR030552
maker-488-snap-gene-1.28-mRNA-1	IPR000582
maker-112805-snap-gene-0.9-mRNA-1	IPR003439,IPR003593,IPR011527
maker-6-snap-gene-131.10-mRNA-1	IPR010414
maker-268-snap-gene-4.21-mRNA-1	IPR001283,IPR014044
maker-3-augustus-gene-101.1-mRNA-1	IPR000580
snap_masked-120-processed-gene-3.8-mRNA-1	IPR001680,IPR017986
maker-309-snap-gene-0.15-mRNA-1	IPR000333,IPR000719,IPR001245,IPR003605
maker-32-augustus-gene-130.5-mRNA-1	IPR001275,IPR005173,IPR026607
