maker-22-augustus-gene-57.1-mRNA-1	PR01405
maker-160-augustus-gene-8.24-mRNA-1	PR00001
maker-219-augustus-gene-9.5-mRNA-1	PR00360,PR00399
maker-5-augustus-gene-41.6-mRNA-1	PR00399
maker-126-augustus-gene-2.39-mRNA-1	PR00065
augustus_masked-15-processed-gene-225.1-mRNA-1	PR00019
maker-210-augustus-gene-5.23-mRNA-1	PR00620
maker-340-snap-gene-2.20-mRNA-1	PR00171,PR01190
maker-318-augustus-gene-34.2-mRNA-1	PR01096,PR01333,PR01586
augustus_masked-84-processed-gene-0.1-mRNA-1	PR00206
maker-4-augustus-gene-327.18-mRNA-1	PR00320,PR00364
maker-48-augustus-gene-14.23-mRNA-1	PR00369,PR00371
maker-21-snap-gene-45.6-mRNA-1	PR00722
maker-109-augustus-gene-60.2-mRNA-1	PR00188
maker-66-snap-gene-7.25-mRNA-1	PR00193
maker-11-augustus-gene-60.2-mRNA-1	PR01081
augustus_masked-168-processed-gene-2.10-mRNA-1	PR00830
snap_masked-25-processed-gene-99.6-mRNA-1	PR00765
maker-252199-snap-gene-0.9-mRNA-1	PR00023
maker-18-augustus-gene-10.4-mRNA-1	PR00237,PR00529
maker-15-augustus-gene-27.16-mRNA-1	PR01657
snap_masked-69-processed-gene-2.3-mRNA-1	PR01748
augustus_masked-306-processed-gene-4.9-mRNA-1	PR00421
maker-39-augustus-gene-122.12-mRNA-1	PR01797
maker-54-augustus-gene-80.7-mRNA-1	PR00759
maker-55-augustus-gene-30.11-mRNA-1	PR00937
augustus_masked-21-processed-gene-10.3-mRNA-1	PR00237,PR00244
maker-8-augustus-gene-39.13-mRNA-1	PR00018,PR00722
maker-374-augustus-gene-5.8-mRNA-1	PR00705
augustus_masked-69-processed-gene-0.2-mRNA-1	PR00206
augustus_masked-112914-processed-gene-0.22-mRNA-1	PR00821
maker-10-snap-gene-62.1-mRNA-1	PR00336
maker-288-augustus-gene-0.15-mRNA-1	PR00047,PR00398,PR01284,PR01287
maker-380-augustus-gene-28.11-mRNA-1	PR00390
augustus_masked-293-processed-gene-0.5-mRNA-1	PR00237,PR00594,PR01157
snap_masked-185-processed-gene-2.3-mRNA-1	PR00309
augustus_masked-50-processed-gene-7.25-mRNA-1	PR00003,PR00759
maker-23-snap-gene-20.7-mRNA-1	PR00248,PR00592
augustus_masked-422-processed-gene-29.6-mRNA-1	PR00252,PR00254
maker-112787-augustus-gene-0.0-mRNA-1	PR00027
snap_masked-268-processed-gene-3.11-mRNA-1	PR00047,PR00398
snap_masked-1-processed-gene-220.1-mRNA-1	PR00193
snap_masked-10-processed-gene-127.2-mRNA-1	PR01084
maker-113253-augustus-gene-0.0-mRNA-1	PR00237,PR00245
maker-82-augustus-gene-5.0-mRNA-1	PR00600
maker-323-snap-gene-90.6-mRNA-1	PR01543
maker-3-snap-gene-11.6-mRNA-1	PR00024
maker-268-augustus-gene-14.1-mRNA-1	PR00169,PR01491,PR01492
maker-398-augustus-gene-15.10-mRNA-1	PR00390
augustus_masked-59-processed-gene-97.7-mRNA-1	PR00205
maker-110907-snap-gene-0.0-mRNA-1	PR01966
maker-422-augustus-gene-4.14-mRNA-1	PR00047,PR00398,PR01293
maker-78-snap-gene-6.41-mRNA-1	PR00449
maker-15-augustus-gene-41.6-mRNA-1	PR00381
maker-27-snap-gene-9.1-mRNA-1	PR00991
maker-114-augustus-gene-3.25-mRNA-1	PR00237,PR01421
maker-153-augustus-gene-42.0-mRNA-1	PR00237,PR00518,PR01101
snap_masked-189-processed-gene-1.52-mRNA-1	PR00261
augustus_masked-170558-processed-gene-0.3-mRNA-1	PR00237,PR00245
augustus_masked-29-processed-gene-57.2-mRNA-1	PR00399
maker-4-snap-gene-73.5-mRNA-1	PR00846
maker-6-augustus-gene-334.2-mRNA-1	PR00834
maker-7-augustus-gene-263.2-mRNA-1	PR00020
maker-6-augustus-gene-63.5-mRNA-1	PR00886
maker-10-snap-gene-90.0-mRNA-1	PR00386
augustus_masked-268-processed-gene-2.35-mRNA-1	PR00237,PR01157
augustus_masked-99-processed-gene-4.3-mRNA-1	PR00080,PR00081
snap_masked-9-processed-gene-75.6-mRNA-1	PR00262,PR00263
maker-321-snap-gene-0.9-mRNA-1	PR00024
maker-19-augustus-gene-9.14-mRNA-1	PR00138
maker-21-augustus-gene-62.4-mRNA-1	PR00320
snap_masked-28-processed-gene-34.0-mRNA-1	PR00452
maker-0start-augustus-gene-495.7-mRNA-1	PR00389
maker-207-augustus-gene-7.5-mRNA-1	PR00258
augustus_masked-2-processed-gene-301.2-mRNA-1	PR00028
maker-409-snap-gene-10.18-mRNA-1	PR00452,PR00499
maker-252110-augustus-gene-0.0-mRNA-1	PR00178
augustus_masked-249308-processed-gene-0.9-mRNA-1	PR00143
maker-368-snap-gene-51.0-mRNA-1	PR01850
maker-7-augustus-gene-209.6-mRNA-1	PR00926
snap_masked-113156-processed-gene-0.12-mRNA-1	PR00453
maker-282-augustus-gene-4.3-mRNA-1	PR01040
snap_masked-394-processed-gene-3.14-mRNA-1	PR00299
augustus_masked-251762-processed-gene-0.1-mRNA-1	PR00466
maker-238-augustus-gene-13.0-mRNA-1	PR00454
maker-11-augustus-gene-69.4-mRNA-1	PR01976,PR01977
maker-6-snap-gene-307.2-mRNA-1	PR00320
maker-113185-augustus-gene-0.7-mRNA-1	PR00436,PR00437
maker-13-snap-gene-14.14-mRNA-1	PR00370,PR01121
maker-18-augustus-gene-72.13-mRNA-1	PR01931
augustus_masked-249344-processed-gene-0.3-mRNA-1	PR00907
augustus_masked-6-processed-gene-202.7-mRNA-1	PR00449
maker-0start-augustus-gene-184.4-mRNA-1	PR00080,PR00081
maker-207-augustus-gene-1.0-mRNA-1	PR00109
maker-1-snap-gene-5.7-mRNA-1	PR00454
maker-38-augustus-gene-12.3-mRNA-1	PR00450
snap_masked-111-processed-gene-0.1-mRNA-1	PR02107
snap_masked-220-processed-gene-54.55-mRNA-1	PR00401
maker-14-snap-gene-75.18-mRNA-1	PR00398
maker-23-snap-gene-11.5-mRNA-1	PR00320
maker-459-snap-gene-3.9-mRNA-1	PR00830
maker-237-snap-gene-1.25-mRNA-1	PR00249,PR01279
maker-246171-snap-gene-0.1-mRNA-1	PR00249
augustus_masked-18-processed-gene-107.20-mRNA-1	PR00193
augustus_masked-179-processed-gene-0.5-mRNA-1	PR00449
augustus_masked-0start-processed-gene-206.1-mRNA-1	PR00180
maker-143-snap-gene-4.0-mRNA-1	PR01415
maker-8-snap-gene-120.2-mRNA-1	PR00206
augustus_masked-58-processed-gene-8.2-mRNA-1	PR00237,PR00384,PR00525
maker-160-augustus-gene-1.21-mRNA-1	PR01270,PR01271
augustus_masked-8-processed-gene-219.5-mRNA-1	PR00206,PR01132
maker-13-snap-gene-148.3-mRNA-1	PR00094
maker-343-snap-gene-26.18-mRNA-1	PR00853
maker-424-snap-gene-5.23-mRNA-1	PR00252,PR01708,PR01709
maker-8-augustus-gene-39.14-mRNA-1	PR00018
maker-6-augustus-gene-320.2-mRNA-1	PR02060,PR02061
maker-6-snap-gene-176.7-mRNA-1	PR00261
augustus_masked-249310-processed-gene-0.0-mRNA-1	PR01415
maker-441-snap-gene-1.18-mRNA-1	PR00887
maker-25-snap-gene-81.0-mRNA-1	PR00385,PR00463
snap_masked-322-processed-gene-5.16-mRNA-1	PR00261
maker-230-snap-gene-2.30-mRNA-1	PR00814
maker-99-augustus-gene-51.1-mRNA-1	PR00381
maker-7-augustus-gene-263.0-mRNA-1	PR00328
maker-295-augustus-gene-40.22-mRNA-1	PR01084,PR01088
augustus_masked-4-processed-gene-279.3-mRNA-1	PR01668
maker-0start-augustus-gene-111.0-mRNA-1	PR00783,PR02016
augustus_masked-35-processed-gene-13.19-mRNA-1	PR00237,PR01157
maker-12-snap-gene-50.4-mRNA-1	PR00170
augustus_masked-243-processed-gene-10.21-mRNA-1	PR00683
maker-66-augustus-gene-7.3-mRNA-1	PR00193
augustus_masked-8-processed-gene-144.11-mRNA-1	PR00387
augustus_masked-283-processed-gene-15.23-mRNA-1	PR00624
maker-14-snap-gene-79.0-mRNA-1	PR00028
augustus_masked-343-processed-gene-36.5-mRNA-1	PR00237,PR00243,PR00540
maker-288-augustus-gene-5.30-mRNA-1	PR00503
augustus_masked-106518-processed-gene-0.1-mRNA-1	PR01407
augustus_masked-268-processed-gene-16.17-mRNA-1	PR01789
augustus_masked-152-processed-gene-31.7-mRNA-1	PR01415
maker-2-augustus-gene-32.0-mRNA-1	PR00421
augustus_masked-158-processed-gene-46.1-mRNA-1	PR01217
maker-0start-snap-gene-289.10-mRNA-1	PR00178
maker-380-augustus-gene-4.12-mRNA-1	PR00380
snap_masked-85-processed-gene-12.34-mRNA-1	PR00713
maker-32-snap-gene-92.1-mRNA-1	PR01407
maker-227-augustus-gene-12.13-mRNA-1	PR00372
maker-15-augustus-gene-75.8-mRNA-1	PR00237,PR00373,PR01144
maker-18-augustus-gene-79.12-mRNA-1	PR01857
maker-0start-snap-gene-58.0-mRNA-1	PR00700
augustus_masked-12-processed-gene-74.1-mRNA-1	PR01367
snap_masked-451-processed-gene-12.9-mRNA-1	PR00449
maker-8-snap-gene-109.6-mRNA-1	PR01573
snap_masked-10-processed-gene-135.2-mRNA-1	PR00010
maker-220-augustus-gene-54.25-mRNA-1	PR00740
augustus_masked-435-processed-gene-1.0-mRNA-1	PR00404
snap_masked-340-processed-gene-1.35-mRNA-1	PR00010
maker-23-augustus-gene-24.2-mRNA-1	PR01991,PR01993
maker-1-augustus-gene-306.8-mRNA-1	PR00252,PR01160
maker-172-augustus-gene-4.0-mRNA-1	PR00398,PR00545
maker-7-augustus-gene-39.1-mRNA-1	PR00111
augustus_masked-3-processed-gene-81.2-mRNA-1	PR00328
maker-6-snap-gene-348.9-mRNA-1	PR00375
augustus_masked-3-processed-gene-157.5-mRNA-1	PR00205
maker-4-augustus-gene-72.0-mRNA-1	PR00449
augustus_masked-66-processed-gene-6.3-mRNA-1	PR00193
maker-64-augustus-gene-30.9-mRNA-1	PR00008
maker-113016-snap-gene-0.10-mRNA-1	PR00024,PR00031
augustus_masked-433-processed-gene-1.2-mRNA-1	PR00237,PR00238,PR00574
maker-295-augustus-gene-42.17-mRNA-1	PR01702
augustus_masked-3-processed-gene-85.3-mRNA-1	PR00237,PR01157
snap_masked-12-processed-gene-111.9-mRNA-1	PR00671
maker-112833-augustus-gene-0.1-mRNA-1	PR00205
maker-4-snap-gene-89.8-mRNA-1	PR01517
maker-5-augustus-gene-74.1-mRNA-1	PR00783,PR02015
maker-0start-snap-gene-372.5-mRNA-1	PR01179,PR01182
maker-1-snap-gene-25.12-mRNA-1	PR00299
augustus_masked-99-processed-gene-23.14-mRNA-1	PR00301
augustus_masked-4-processed-gene-187.1-mRNA-1	PR00237,PR00752,PR00896
augustus_masked-109-processed-gene-33.13-mRNA-1	PR00024
maker-70-snap-gene-16.11-mRNA-1	PR00597
maker-25-augustus-gene-145.0-mRNA-1	PR00075
maker-112-augustus-gene-6.4-mRNA-1	PR00011
maker-9-snap-gene-45.13-mRNA-1	PR00290
maker-1-augustus-gene-279.5-mRNA-1	PR01536,PR01537
maker-139-snap-gene-2.30-mRNA-1	PR00249
maker-69-snap-gene-4.28-mRNA-1	PR00007
maker-62-snap-gene-55.23-mRNA-1	PR00249
maker-1-augustus-gene-264.8-mRNA-1	PR00401,PR00452
maker-323-augustus-gene-0.4-mRNA-1	PR00007
maker-109-augustus-gene-50.21-mRNA-1	PR00042
maker-178-snap-gene-0.19-mRNA-1	PR00385,PR00463,PR01683
snap_masked-85-processed-gene-12.38-mRNA-1	PR00722
maker-95-snap-gene-3.44-mRNA-1	PR00722
augustus_masked-21-processed-gene-57.2-mRNA-1	PR00794
augustus_masked-25-processed-gene-72.11-mRNA-1	PR01625
augustus_masked-37-processed-gene-3.7-mRNA-1	PR00670
maker-2-augustus-gene-205.20-mRNA-1	PR00453
snap_masked-54-processed-gene-148.1-mRNA-1	PR00795
augustus_masked-0start-processed-gene-19.19-mRNA-1	PR00205
maker-1-augustus-gene-63.4-mRNA-1	PR00001
maker-113100-augustus-gene-0.25-mRNA-1	PR00109,PR00401
maker-172-augustus-gene-8.10-mRNA-1	PR01857
maker-113-augustus-gene-25.21-mRNA-1	PR00452,PR01887
maker-207-snap-gene-7.45-mRNA-1	PR00023
maker-19-augustus-gene-40.0-mRNA-1	PR01807
maker-398-augustus-gene-14.21-mRNA-1	PR00786
snap_masked-39-processed-gene-25.7-mRNA-1	PR01449
augustus_masked-451-processed-gene-27.18-mRNA-1	PR00206
maker-39-augustus-gene-52.5-mRNA-1	PR00259
maker-43-augustus-gene-34.9-mRNA-1	PR02050
maker-25-augustus-gene-128.16-mRNA-1	PR01415
snap_masked-46-processed-gene-0.4-mRNA-1	PR00237,PR00424
augustus_masked-15-processed-gene-41.2-mRNA-1	PR01832
snap_masked-471-processed-gene-0.13-mRNA-1	PR00169,PR01491,PR01494
maker-18-augustus-gene-64.28-mRNA-1	PR00380
maker-322-augustus-gene-9.7-mRNA-1	PR00028,PR00029
augustus_masked-67-processed-gene-27.11-mRNA-1	PR00205
maker-65-snap-gene-7.15-mRNA-1	PR01077,PR01447
augustus_masked-15-processed-gene-106.11-mRNA-1	PR01887
maker-1-augustus-gene-279.4-mRNA-1	PR01537
maker-466-augustus-gene-0.8-mRNA-1	PR00165,PR01187,PR01231
maker-6-augustus-gene-29.0-mRNA-1	PR00237,PR01012,PR01013
augustus_masked-54-processed-gene-118.1-mRNA-1	PR01259
snap_masked-65-processed-gene-4.4-mRNA-1	PR00014,PR00109
maker-33-augustus-gene-8.10-mRNA-1	PR00262,PR00263
maker-16-augustus-gene-23.5-mRNA-1	PR00328
augustus_masked-248231-processed-gene-0.1-mRNA-1	PR00237,PR00244
snap_masked-87-processed-gene-11.5-mRNA-1	PR00704
maker-186-augustus-gene-2.28-mRNA-1	PR00503
snap_masked-35-processed-gene-15.16-mRNA-1	PR00925
maker-112823-snap-gene-1.6-mRNA-1	PR00633
augustus_masked-318-processed-gene-11.2-mRNA-1	PR00686
maker-3-augustus-gene-71.2-mRNA-1	PR00109
maker-49-augustus-gene-8.2-mRNA-1	PR00320
maker-323-augustus-gene-45.6-mRNA-1	PR00080,PR00081
maker-245-snap-gene-2.1-mRNA-1	PR00831
maker-1-snap-gene-22.4-mRNA-1	PR00680
augustus_masked-10-processed-gene-140.14-mRNA-1	PR00405
maker-372-snap-gene-7.23-mRNA-1	PR01215
maker-272-snap-gene-13.11-mRNA-1	PR00267
maker-68-augustus-gene-7.10-mRNA-1	PR01415
maker-171-augustus-gene-12.14-mRNA-1	PR00747
snap_masked-75-processed-gene-4.63-mRNA-1	PR00114
maker-153-augustus-gene-115.11-mRNA-1	PR00597
augustus_masked-435-processed-gene-0.3-mRNA-1	PR01265
maker-9-augustus-gene-36.11-mRNA-1	PR00289
maker-25-augustus-gene-109.6-mRNA-1	PR00869,PR00871
snap_masked-426-processed-gene-0.3-mRNA-1	PR00625
maker-34-augustus-gene-31.5-mRNA-1	PR00633
augustus_masked-422-processed-gene-23.15-mRNA-1	PR00259
maker-113274-snap-gene-0.23-mRNA-1	PR00962
maker-29-snap-gene-68.5-mRNA-1	PR01697
maker-423-augustus-gene-1.8-mRNA-1	PR00027
maker-12-snap-gene-72.26-mRNA-1	PR01186
maker-13-augustus-gene-210.12-mRNA-1	PR00019
snap_masked-326-processed-gene-6.14-mRNA-1	PR01601,PR01792
maker-47-augustus-gene-85.24-mRNA-1	PR00363
augustus_masked-236-processed-gene-13.8-mRNA-1	PR00237,PR00245
snap_masked-249231-processed-gene-0.2-mRNA-1	PR00452,PR00499
snap_masked-482-processed-gene-0.12-mRNA-1	PR00205
maker-14-augustus-gene-111.0-mRNA-1	PR00262,PR00263
maker-9-snap-gene-15.4-mRNA-1	PR01832
maker-207-snap-gene-16.8-mRNA-1	PR02051,PR02053
maker-27-augustus-gene-97.1-mRNA-1	PR00700
augustus_masked-69-processed-gene-8.32-mRNA-1	PR00109
maker-27-augustus-gene-117.12-mRNA-1	PR00103
augustus_masked-99-processed-gene-17.10-mRNA-1	PR00449
maker-16-augustus-gene-141.18-mRNA-1	PR00237,PR00665,PR00896
maker-168-augustus-gene-7.5-mRNA-1	PR00237
maker-4-augustus-gene-318.4-mRNA-1	PR00454
maker-275-augustus-gene-1.5-mRNA-1	PR00237,PR00663
maker-7-snap-gene-6.23-mRNA-1	PR00380
maker-12-augustus-gene-109.4-mRNA-1	PR00700
maker-61069-snap-gene-0.7-mRNA-1	PR01165
maker-0start-augustus-gene-495.9-mRNA-1	PR01462
maker-77-snap-gene-9.22-mRNA-1	PR00193
snap_masked-373-processed-gene-3.4-mRNA-1	PR00014
snap_masked-44-processed-gene-11.26-mRNA-1	PR01448
augustus_masked-8-processed-gene-288.0-mRNA-1	PR00862
maker-15-snap-gene-102.5-mRNA-1	PR01217
augustus_masked-7-processed-gene-19.17-mRNA-1	PR00237,PR00657,PR01109
maker-67-snap-gene-34.5-mRNA-1	PR00360
maker-13-augustus-gene-162.19-mRNA-1	PR00122
maker-112833-snap-gene-0.16-mRNA-1	PR00205
maker-230-snap-gene-2.31-mRNA-1	PR00814
maker-0start-snap-gene-128.2-mRNA-1	PR00205,PR01818,PR01819
maker-6-augustus-gene-289.4-mRNA-1	PR00007
augustus_masked-34-processed-gene-35.9-mRNA-1	PR01320,PR01332
maker-114-augustus-gene-3.24-mRNA-1	PR00454
augustus_masked-259-processed-gene-0.3-mRNA-1	PR00449
maker-25-snap-gene-98.11-mRNA-1	PR00799
maker-15-augustus-gene-120.9-mRNA-1	PR00984
augustus_masked-55-processed-gene-20.0-mRNA-1	PR00832
augustus_masked-54-processed-gene-22.0-mRNA-1	PR00722
maker-32-augustus-gene-103.4-mRNA-1	PR00387
maker-25-augustus-gene-82.0-mRNA-1	PR00328
maker-9-snap-gene-3.17-mRNA-1	PR01349,PR01892
maker-13-augustus-gene-95.4-mRNA-1	PR00401
augustus_masked-54-processed-gene-140.0-mRNA-1	PR00237
augustus_masked-1-processed-gene-324.0-mRNA-1	PR00031
maker-153-augustus-gene-96.0-mRNA-1	PR00206
augustus_masked-435-processed-gene-5.62-mRNA-1	PR00401
maker-15-snap-gene-207.0-mRNA-1	PR00449
maker-272-augustus-gene-21.10-mRNA-1	PR00253,PR01620
snap_masked-2-processed-gene-264.4-mRNA-1	PR00206
maker-258-snap-gene-1.2-mRNA-1	PR01415
maker-22-augustus-gene-2.4-mRNA-1	PR00764
augustus_masked-50-processed-gene-9.43-mRNA-1	PR00237,PR01244
augustus_masked-16-processed-gene-2.33-mRNA-1	PR00237
augustus_masked-72-processed-gene-4.3-mRNA-1	PR00237
maker-30-snap-gene-4.11-mRNA-1	PR01407
maker-25-snap-gene-105.3-mRNA-1	PR00024
maker-23-snap-gene-22.0-mRNA-1	PR01349
maker-9-augustus-gene-50.11-mRNA-1	PR00503
maker-318-augustus-gene-4.4-mRNA-1	PR01705
maker-54-snap-gene-16.4-mRNA-1	PR00261
augustus_masked-39-processed-gene-112.0-mRNA-1	PR00019
maker-13-augustus-gene-177.1-mRNA-1	PR02008
maker-93-snap-gene-3.19-mRNA-1	PR00449
maker-6-augustus-gene-74.5-mRNA-1	PR00214
snap_masked-12-processed-gene-38.8-mRNA-1	PR00453
maker-268-augustus-gene-1.5-mRNA-1	PR00305
augustus_masked-35-processed-gene-12.2-mRNA-1	PR00237,PR01067
augustus_masked-472-processed-gene-6.26-mRNA-1	PR00237,PR01148,PR01527
maker-1-augustus-gene-306.7-mRNA-1	PR00253
augustus_masked-6-processed-gene-269.0-mRNA-1	PR00450
maker-14-snap-gene-106.4-mRNA-1	PR01415
maker-4-augustus-gene-89.0-mRNA-1	PR00259
snap_masked-112766-processed-gene-0.2-mRNA-1	PR00449
augustus_masked-25-processed-gene-105.1-mRNA-1	PR00024
maker-471-augustus-gene-3.2-mRNA-1	PR00429,PR01788
augustus_masked-368-processed-gene-29.3-mRNA-1	PR00449
maker-326-snap-gene-6.1-mRNA-1	PR01603,PR01792
maker-11-augustus-gene-69.3-mRNA-1	PR01976,PR01979
snap_masked-15-processed-gene-162.5-mRNA-1	PR01463,PR01464
maker-291-augustus-gene-7.23-mRNA-1	PR00390
maker-295-augustus-gene-43.10-mRNA-1	PR00452
maker-48-snap-gene-13.13-mRNA-1	PR00320
maker-158-augustus-gene-55.9-mRNA-1	PR01185
augustus_masked-151-processed-gene-3.8-mRNA-1	PR00237,PR00657
augustus_masked-11-processed-gene-48.1-mRNA-1	PR00053
maker-375-snap-gene-0.41-mRNA-1	PR00192
maker-9-augustus-gene-71.5-mRNA-1	PR01928
maker-210-augustus-gene-5.22-mRNA-1	PR00625
maker-374-augustus-gene-8.40-mRNA-1	PR01932
maker-246172-augustus-gene-0.2-mRNA-1	PR00170
maker-303-snap-gene-2.22-mRNA-1	PR01415
maker-13-augustus-gene-97.1-mRNA-1	PR00058
maker-39-augustus-gene-39.4-mRNA-1	PR00196,PR01810
maker-295-augustus-gene-23.2-mRNA-1	PR01537
maker-25-augustus-gene-115.11-mRNA-1	PR00385,PR00465
augustus_masked-251764-processed-gene-0.1-mRNA-1	PR00380
augustus_masked-7-processed-gene-169.2-mRNA-1	PR00024
snap_masked-44-processed-gene-11.24-mRNA-1	PR01077,PR01448
snap_masked-9-processed-gene-82.13-mRNA-1	PR00452
maker-113156-augustus-gene-0.44-mRNA-1	PR00109,PR00401,PR00452
snap_masked-22-processed-gene-40.27-mRNA-1	PR00709
maker-18-augustus-gene-128.10-mRNA-1	PR00193
augustus_masked-113-processed-gene-17.6-mRNA-1	PR01157
maker-126-snap-gene-0.12-mRNA-1	PR01773
augustus_masked-320-processed-gene-1.1-mRNA-1	PR00019
maker-158-augustus-gene-47.3-mRNA-1	PR00463
maker-22-augustus-gene-41.48-mRNA-1	PR00332
augustus_masked-67-processed-gene-2.4-mRNA-1	PR01612
maker-464-snap-gene-3.3-mRNA-1	PR00237
snap_masked-446-processed-gene-1.29-mRNA-1	PR00405
maker-19-augustus-gene-76.16-mRNA-1	PR00449
maker-72-augustus-gene-17.1-mRNA-1	PR00205
maker-164-augustus-gene-0.7-mRNA-1	PR00024
maker-323-snap-gene-69.26-mRNA-1	PR00380
maker-47-augustus-gene-85.26-mRNA-1	PR00363
maker-340-snap-gene-1.19-mRNA-1	PR01407
augustus_masked-112457-processed-gene-0.2-mRNA-1	PR00237,PR00245
maker-42-snap-gene-10.1-mRNA-1	PR00249,PR01350,PR01351
maker-468-snap-gene-5.25-mRNA-1	PR01546
maker-210-snap-gene-3.3-mRNA-1	PR00599
snap_masked-99-processed-gene-22.18-mRNA-1	PR00047
maker-13-augustus-gene-219.4-mRNA-1	PR00723
snap_masked-258-processed-gene-1.11-mRNA-1	PR01415
maker-85-augustus-gene-5.38-mRNA-1	PR00380
augustus_masked-0start-processed-gene-210.4-mRNA-1	PR00180
maker-11-snap-gene-24.9-mRNA-1	PR00421
maker-5-augustus-gene-2.7-mRNA-1	PR00259
maker-93-snap-gene-0.0-mRNA-1	PR00080,PR00081
snap_masked-9-processed-gene-45.9-mRNA-1	PR00237,PR00531
maker-19-snap-gene-71.6-mRNA-1	PR00705
maker-428-snap-gene-0.0-mRNA-1	PR01415
maker-25-snap-gene-144.7-mRNA-1	PR00385,PR00463,PR01684
augustus_masked-62-processed-gene-3.11-mRNA-1	PR00450
maker-320-augustus-gene-17.6-mRNA-1	PR00450
maker-8-snap-gene-245.4-mRNA-1	PR00963
maker-6-snap-gene-70.2-mRNA-1	PR00252,PR00253,PR01673
maker-323-augustus-gene-62.18-mRNA-1	PR00080,PR00081
snap_masked-189-processed-gene-1.42-mRNA-1	PR00261
snap_masked-387-processed-gene-2.11-mRNA-1	PR00967
augustus_masked-23-processed-gene-26.10-mRNA-1	PR00205
maker-150-augustus-gene-0.24-mRNA-1	PR00449
augustus_masked-249233-processed-gene-0.0-mRNA-1	PR00452,PR00499
maker-36-snap-gene-9.15-mRNA-1	PR00070
maker-59-snap-gene-189.4-mRNA-1	PR00401
snap_masked-220-processed-gene-54.59-mRNA-1	PR00252,PR00253
maker-247-snap-gene-5.32-mRNA-1	PR01415
maker-410-augustus-gene-0.34-mRNA-1	PR00014
augustus_masked-34-processed-gene-20.20-mRNA-1	PR01460
augustus_masked-323-processed-gene-68.16-mRNA-1	PR00249,PR01422
augustus_masked-25-processed-gene-79.20-mRNA-1	PR00320
maker-12-augustus-gene-76.50-mRNA-1	PR00597
maker-435-augustus-gene-5.15-mRNA-1	PR00783,PR02015
maker-10-augustus-gene-101.3-mRNA-1	PR00195
maker-49-augustus-gene-44.22-mRNA-1	PR00926
maker-1-augustus-gene-279.3-mRNA-1	PR01537
maker-251031-augustus-gene-0.6-mRNA-1	PR00193,PR00452
maker-8-augustus-gene-41.3-mRNA-1	PR00304
maker-29-augustus-gene-0.23-mRNA-1	PR00492
augustus_masked-458-processed-gene-0.54-mRNA-1	PR00369,PR00371
augustus_masked-5-processed-gene-20.3-mRNA-1	PR02087
maker-39-augustus-gene-122.14-mRNA-1	PR00205
maker-22-snap-gene-36.4-mRNA-1	PR01931
snap_masked-12-processed-gene-84.11-mRNA-1	PR01976
augustus_masked-16-processed-gene-28.38-mRNA-1	PR00620
maker-112823-augustus-gene-1.0-mRNA-1	PR00633
augustus_masked-4-processed-gene-72.1-mRNA-1	PR00237,PR01421
maker-112341-augustus-gene-0.1-mRNA-1	PR00452
maker-111688-augustus-gene-0.7-mRNA-1	PR00504
maker-18-augustus-gene-133.15-mRNA-1	PR00302
maker-85-augustus-gene-1.2-mRNA-1	PR00171
augustus_masked-18-processed-gene-59.0-mRNA-1	PR00109
snap_masked-84-processed-gene-1.18-mRNA-1	PR01078
snap_masked-49-processed-gene-28.6-mRNA-1	PR00237,PR00246,PR00589
maker-172-snap-gene-5.13-mRNA-1	PR00320
maker-6-augustus-gene-42.0-mRNA-1	PR00480
maker-0start-augustus-gene-48.2-mRNA-1	PR00449
snap_masked-6-processed-gene-307.1-mRNA-1	PR00171
snap_masked-59-processed-gene-65.11-mRNA-1	PR00205
maker-238-augustus-gene-32.5-mRNA-1	PR00111
maker-252042-snap-gene-0.2-mRNA-1	PR00010
maker-8-augustus-gene-39.15-mRNA-1	PR00722
maker-67-augustus-gene-10.0-mRNA-1	PR00169,PR01459
maker-1-snap-gene-134.3-mRNA-1	PR00249
augustus_masked-99-processed-gene-1.26-mRNA-1	PR00237
augustus_masked-185-processed-gene-0.7-mRNA-1	PR00300
maker-1-snap-gene-120.9-mRNA-1	PR01000
augustus_masked-10-processed-gene-92.1-mRNA-1	PR01536,PR01537
maker-0start-augustus-gene-105.8-mRNA-1	PR00237,PR01471
maker-236-augustus-gene-7.5-mRNA-1	PR00262,PR00263
augustus_masked-7-processed-gene-246.1-mRNA-1	PR01185
maker-158-snap-gene-33.12-mRNA-1	PR00765
maker-29-augustus-gene-68.29-mRNA-1	PR01697
maker-112514-snap-gene-1.9-mRNA-1	PR01349,PR01843
maker-13-augustus-gene-26.35-mRNA-1	PR00081
snap_masked-488-processed-gene-1.40-mRNA-1	PR00206,PR01136
maker-27-augustus-gene-36.20-mRNA-1	PR00502
maker-18-augustus-gene-3.22-mRNA-1	PR00131
maker-112-augustus-gene-13.1-mRNA-1	PR01839
snap_masked-16-processed-gene-77.6-mRNA-1	PR00220
maker-1-augustus-gene-241.8-mRNA-1	PR00001
augustus_masked-31-processed-gene-32.2-mRNA-1	PR01630
snap_masked-290-processed-gene-3.28-mRNA-1	PR01415
snap_masked-89070-processed-gene-0.0-mRNA-1	PR00245
maker-243-augustus-gene-2.5-mRNA-1	PR00114
maker-0start-augustus-gene-261.4-mRNA-1	PR00837
augustus_masked-55-processed-gene-11.21-mRNA-1	PR01210
